pH,Turbidity,TDS,DO,Temperature,EC,Chlorine,Nitrate,Quality
8.86,8.72,1464.54,3.05,26.65,1880.4,0.53,11.72,Unsafe
8.23,4.01,226.75,5.22,30.8,255.22,1.14,1.01,Unsafe
6.22,0.44,212.38,5.33,26.66,1894.92,1.98,0.3,Unsafe
5.39,5.8,1370.3,6.04,26.31,1921.57,0.27,9.24,Unsafe
7.74,3.46,1438.03,3.59,33.57,1994.55,1.86,3.22,Unsafe
6.76,4.54,669.29,2.28,23.74,566.05,0.97,8.57,Unsafe
5.49,6.84,738.22,2.71,27.69,1009.72,1.16,3.83,Unsafe
6.98,7.04,616.18,2.49,22.69,515.2,1.63,3.73,Unsafe
5.14,0.37,1188.76,7.55,28.01,1125.27,1.56,2.04,Unsafe
8.64,7.72,1179.1,2.94,15.2,1544.67,0.16,5.99,Unsafe
6.04,4.99,408.59,7.25,29.53,1355.28,1.16,1.87,Unsafe
7.65,5.61,637.45,2.75,30.64,910.14,1.93,13.45,Unsafe
6.25,3.05,397.41,5.47,32.55,1675.32,1.02,4.06,Unsafe
7.08,4.27,165.27,4.02,25.0,1438.2,1.84,11.89,Unsafe
7.19,7.13,178.57,6.56,20.72,258.59,0.51,8.49,Unsafe
5.74,7.79,305.55,3.02,29.61,1907.49,1.43,7.01,Unsafe
8.88,3.93,141.83,6.12,33.98,1782.35,1.21,10.23,Unsafe
8.1,6.94,692.45,6.0,30.4,1727.12,0.35,11.05,Unsafe
8.76,2.65,189.63,4.82,33.22,1116.65,0.39,6.31,Unsafe
8.58,8.34,1286.38,5.38,17.39,953.54,1.43,9.73,Unsafe
7.39,6.14,1096.91,3.03,33.49,1167.61,0.32,1.83,Unsafe
8.69,7.77,1197.1,7.67,29.22,1935.54,1.31,14.31,Unsafe
5.35,4.82,964.47,6.23,31.45,1526.06,1.79,5.59,Unsafe
5.78,2.37,1029.43,2.84,23.42,240.0,0.69,3.52,Unsafe
5.18,4.35,258.77,8.42,26.4,1252.13,0.55,11.12,Unsafe
6.3,3.88,181.43,6.36,27.27,379.32,1.12,10.16,Unsafe
6.55,3.39,1484.9,3.21,25.38,1137.54,1.86,5.54,Unsafe
6.09,2.2,622.13,3.57,16.93,982.26,0.24,5.84,Unsafe
8.31,7.62,171.78,3.43,19.64,1323.3,1.77,6.19,Unsafe
6.43,0.95,323.5,3.58,17.79,595.51,0.39,8.36,Unsafe
6.12,8.89,1323.89,3.47,31.56,496.97,0.9,5.04,Unsafe
7.17,1.83,388.12,7.22,22.45,1671.38,1.66,8.17,Unsafe
5.56,9.8,753.86,6.14,20.76,1834.89,1.17,9.87,Unsafe
8.21,9.89,1034.46,3.63,19.37,515.99,0.62,11.35,Unsafe
5.3,4.04,1452.21,8.52,29.04,681.22,0.33,1.13,Unsafe
8.95,9.88,119.73,2.08,25.4,116.8,1.3,11.8,Unsafe
8.09,8.7,782.62,6.8,26.84,1368.78,1.65,10.64,Unsafe
5.79,0.92,1494.44,5.8,30.13,1938.76,1.01,5.41,Unsafe
5.02,9.48,270.41,5.72,34.4,867.76,1.41,9.53,Unsafe
8.26,0.52,273.2,5.86,29.82,1150.53,1.17,13.4,Unsafe
7.83,1.9,221.86,5.41,34.42,786.75,1.46,8.73,Unsafe
7.92,5.89,810.98,8.63,28.95,1292.38,1.85,0.31,Unsafe
8.09,0.9,587.78,6.33,28.54,981.13,0.81,6.36,Safe
5.3,1.7,1102.76,5.22,17.88,1705.86,1.49,0.81,Unsafe
6.43,9.54,899.82,8.02,16.86,1926.16,1.92,2.39,Unsafe
5.46,9.95,913.18,8.23,15.48,664.92,0.53,7.53,Unsafe
8.45,8.0,815.48,7.42,28.87,1121.91,1.85,0.13,Unsafe
7.49,5.2,1488.89,6.02,27.98,1201.93,0.89,11.23,Unsafe
6.32,9.01,854.67,2.3,27.63,279.04,0.2,3.09,Unsafe
5.25,1.21,201.31,8.37,27.5,484.27,0.52,3.78,Unsafe
6.24,9.43,551.07,7.72,28.77,1693.84,1.79,9.04,Unsafe
6.3,3.58,1192.95,8.53,31.71,917.44,1.15,6.93,Unsafe
7.92,8.63,979.84,2.94,29.52,243.02,1.85,0.28,Unsafe
7.55,6.72,1057.53,8.73,26.99,1278.46,1.12,7.81,Unsafe
8.55,9.61,1390.53,8.76,19.36,899.57,0.11,6.58,Unsafe
6.89,8.66,721.29,5.17,30.35,1782.19,1.42,8.1,Unsafe
5.48,8.89,127.33,2.52,19.99,780.96,0.95,3.45,Unsafe
7.85,6.35,1486.13,6.35,28.61,1399.78,0.25,14.6,Unsafe
8.04,8.35,736.41,6.38,17.69,536.41,0.6,8.54,Unsafe
7.25,7.6,236.66,5.71,25.2,1843.66,0.38,13.1,Unsafe
8.08,1.7,868.02,4.3,27.66,1915.55,0.96,13.16,Unsafe
6.98,6.52,926.28,2.5,31.3,1002.23,0.67,3.43,Unsafe
7.09,1.57,890.07,5.94,29.05,615.47,0.5,7.72,Safe
6.71,8.71,1450.89,4.2,31.13,152.29,1.33,10.0,Unsafe
5.1,0.75,547.49,2.7,32.1,1166.21,1.9,11.6,Unsafe
5.43,9.87,148.32,3.33,32.53,1364.0,1.93,11.69,Unsafe
5.13,4.07,1387.65,7.53,32.62,1224.94,0.81,14.55,Unsafe
7.55,1.79,367.73,7.65,20.27,1305.78,0.6,8.75,Safe
6.26,9.36,1149.23,7.37,31.16,392.09,1.29,1.55,Unsafe
7.03,0.55,385.61,2.53,15.34,554.35,0.79,14.66,Unsafe
8.63,4.75,1260.57,2.77,33.72,1626.28,1.63,14.56,Unsafe
6.0,7.73,1368.94,3.63,18.72,298.74,0.84,10.89,Unsafe
6.64,3.24,247.5,8.86,32.67,1428.81,1.19,13.28,Unsafe
8.02,5.34,306.18,3.92,31.09,1676.12,1.98,13.15,Unsafe
5.92,7.03,1395.4,8.54,22.79,816.24,0.35,11.29,Unsafe
5.31,9.52,1178.99,6.61,34.27,127.53,0.71,13.63,Unsafe
6.16,1.12,154.46,2.19,16.88,1390.28,0.24,4.48,Unsafe
5.64,1.66,355.08,5.41,20.82,408.26,1.92,3.91,Unsafe
8.72,5.14,676.91,7.85,20.06,340.21,1.03,13.6,Unsafe
8.23,4.24,1309.88,2.44,15.16,868.74,0.72,2.11,Unsafe
7.53,4.17,311.48,6.27,18.29,1618.22,1.87,2.49,Unsafe
8.49,3.04,1113.8,4.24,30.88,1113.41,0.93,5.88,Unsafe
8.21,5.65,217.2,3.4,31.64,947.75,0.11,3.18,Unsafe
5.75,8.84,754.04,5.7,29.9,1293.46,1.17,2.45,Unsafe
8.57,1.69,1120.59,7.57,25.95,1851.52,0.27,7.35,Unsafe
7.16,2.23,190.6,7.45,27.65,974.42,1.97,0.31,Unsafe
8.23,6.74,385.93,3.22,26.63,262.7,1.83,7.79,Unsafe
8.58,0.66,1208.53,4.44,20.05,626.06,1.53,13.03,Unsafe
6.27,6.77,328.93,4.44,22.69,1843.01,1.3,8.5,Unsafe
5.44,3.21,1034.55,7.77,31.37,1109.14,0.18,4.02,Unsafe
5.91,3.64,999.06,5.47,16.88,488.48,0.53,1.84,Unsafe
6.71,4.11,828.55,4.63,15.77,681.61,0.9,9.63,Unsafe
8.27,3.56,382.39,7.64,28.76,974.83,1.58,11.67,Unsafe
8.44,8.43,683.72,8.24,31.77,1970.04,0.37,10.43,Unsafe
5.03,9.47,970.48,4.27,27.35,916.92,1.53,2.34,Unsafe
7.04,5.53,1334.41,8.9,30.25,470.42,1.24,14.5,Unsafe
6.67,5.86,1217.0,5.75,34.55,1328.69,1.03,14.38,Unsafe
5.89,0.8,950.28,2.43,27.62,999.89,1.85,13.2,Unsafe
5.48,7.16,419.86,4.56,23.88,1566.12,1.36,2.86,Unsafe
6.35,5.88,403.38,5.81,34.86,1954.08,0.62,1.51,Unsafe
8.77,0.6,1239.44,7.79,27.57,1514.56,0.99,10.93,Unsafe
6.29,2.06,1030.19,6.96,18.55,1575.1,1.35,14.13,Unsafe
7.08,2.1,601.28,3.4,28.7,1667.04,0.28,6.95,Unsafe
7.81,1.79,1460.07,4.97,29.86,120.46,0.38,8.3,Unsafe
6.45,6.62,1345.67,2.69,15.23,591.4,1.86,14.46,Unsafe
8.89,9.29,1040.12,8.14,23.66,1441.44,0.61,14.2,Unsafe
8.85,7.65,616.92,2.03,33.93,1023.99,0.79,2.61,Unsafe
6.01,4.83,532.26,3.82,31.32,1650.34,0.33,5.99,Unsafe
6.99,4.1,1415.14,7.34,19.09,338.98,0.47,6.44,Unsafe
6.2,3.93,720.85,2.15,21.09,681.07,0.3,9.17,Unsafe
6.14,6.05,1220.02,7.05,28.2,1938.39,1.54,14.8,Unsafe
5.15,3.66,1415.61,6.58,33.25,1601.73,1.15,14.33,Unsafe
7.44,2.34,788.81,5.12,32.56,1001.25,0.67,10.67,Unsafe
7.01,6.07,1014.35,2.99,19.86,1246.82,0.6,10.92,Unsafe
5.21,3.97,220.76,4.17,28.63,319.64,0.17,3.11,Unsafe
6.11,0.24,1013.61,3.39,26.28,1955.18,1.17,1.41,Unsafe
8.63,0.32,401.12,2.04,22.52,962.17,0.5,14.73,Unsafe
5.96,2.81,1038.74,4.57,21.02,465.8,0.48,9.78,Unsafe
5.58,5.17,241.46,8.32,24.97,1202.08,1.66,2.42,Unsafe
6.96,3.61,793.29,5.36,26.37,1965.96,0.28,2.02,Unsafe
8.94,0.34,829.42,6.2,32.99,455.08,1.43,6.78,Unsafe
5.97,2.31,776.93,8.59,29.98,321.92,0.57,5.14,Unsafe
7.69,1.05,1159.41,5.16,16.2,716.55,1.4,6.35,Unsafe
8.05,9.49,1156.33,6.08,18.54,623.44,0.29,12.44,Unsafe
5.95,3.2,1088.93,2.65,19.75,1344.94,1.11,4.8,Unsafe
7.91,0.25,984.28,2.94,19.12,1538.61,0.97,3.08,Unsafe
6.47,6.64,1366.15,6.09,20.92,1146.46,0.98,3.21,Unsafe
7.53,2.4,905.89,2.33,23.13,100.55,0.52,1.53,Unsafe
7.53,5.71,587.65,2.25,15.34,143.03,0.36,7.31,Unsafe
7.14,1.59,182.86,2.73,16.36,1717.61,1.64,7.57,Unsafe
5.36,9.84,850.14,3.63,28.25,1967.9,0.42,13.0,Unsafe
8.34,9.71,418.84,2.68,27.01,542.27,0.93,14.6,Unsafe
6.28,6.59,641.75,3.79,32.53,807.93,0.16,14.42,Unsafe
5.75,7.1,169.92,7.17,34.1,651.99,0.44,9.66,Unsafe
5.16,4.32,997.23,4.91,29.63,1255.24,0.36,11.61,Unsafe
7.36,9.63,1341.36,6.65,22.89,442.73,1.42,12.04,Unsafe
7.71,4.3,555.2,7.35,29.88,729.67,1.56,4.6,Unsafe
5.07,2.47,1226.83,4.3,26.57,1535.02,1.74,7.29,Unsafe
7.05,1.24,276.83,8.26,33.86,1784.57,0.18,14.91,Unsafe
5.91,2.16,1112.39,8.03,33.09,254.48,1.77,2.68,Unsafe
7.58,5.76,211.66,4.89,31.8,1526.47,0.73,10.38,Unsafe
5.7,2.53,462.08,7.78,28.01,181.74,1.82,12.88,Unsafe
7.76,6.58,604.34,4.36,18.42,379.63,0.89,4.17,Unsafe
6.55,3.88,319.5,7.06,30.39,1500.94,0.12,5.72,Unsafe
8.75,8.88,358.3,8.8,32.58,237.62,1.06,7.87,Unsafe
5.55,5.63,1078.5,4.18,30.02,116.46,1.23,3.97,Unsafe
6.36,6.26,234.07,6.01,26.71,662.46,1.24,7.03,Unsafe
5.45,5.61,1407.47,4.52,29.89,357.96,1.88,5.38,Unsafe
8.7,8.87,1175.71,5.48,22.32,884.16,0.91,6.97,Unsafe
8.51,0.73,599.43,3.52,17.8,1870.66,1.02,10.29,Unsafe
6.03,0.77,980.27,5.0,21.76,1784.8,1.99,1.81,Unsafe
7.64,7.05,1107.18,6.51,32.21,1647.78,0.14,6.89,Unsafe
8.27,7.7,932.28,4.41,32.92,153.25,1.29,6.95,Unsafe
7.22,4.39,965.56,4.02,19.01,1930.52,1.42,4.69,Unsafe
7.12,3.59,1382.36,4.32,16.75,1601.02,1.22,9.28,Unsafe
5.97,2.85,1333.53,4.19,16.96,906.5,1.08,3.33,Unsafe
5.37,2.42,1379.33,3.12,25.91,1213.64,0.78,1.53,Unsafe
8.59,9.13,1339.3,8.34,20.34,1788.92,1.34,3.17,Unsafe
8.6,3.02,1059.55,8.69,23.55,1624.04,0.52,8.58,Unsafe
7.53,6.52,788.46,3.85,25.91,1756.4,1.88,11.51,Unsafe
6.36,7.89,782.34,6.32,16.14,1698.17,1.87,3.75,Unsafe
6.4,0.32,1180.19,4.21,30.79,1240.34,1.04,11.12,Unsafe
7.9,0.44,1393.54,6.06,18.59,1736.95,1.21,10.88,Unsafe
8.59,3.4,223.28,4.05,24.03,1049.03,2.0,13.05,Unsafe
8.55,6.99,1327.56,2.43,32.43,1228.87,1.2,8.36,Unsafe
8.12,2.68,1289.55,3.05,31.44,1582.12,1.77,8.76,Unsafe
7.57,0.11,222.63,5.66,32.77,1708.19,0.4,13.88,Unsafe
5.34,2.95,1019.17,3.75,29.23,268.06,0.84,13.89,Unsafe
5.65,0.99,1460.65,5.39,19.71,639.09,1.22,3.49,Unsafe
8.59,2.27,1292.32,8.37,22.94,1512.28,1.86,5.07,Unsafe
7.43,3.4,187.98,2.29,17.02,400.36,0.17,8.61,Unsafe
5.04,1.37,1395.26,7.71,22.46,1223.55,1.57,4.47,Unsafe
5.41,7.09,342.32,5.41,15.1,1507.97,1.35,5.2,Unsafe
7.65,2.63,201.47,3.08,25.85,1746.64,0.84,13.19,Unsafe
5.02,6.64,418.97,3.63,16.04,714.31,1.52,14.78,Unsafe
5.64,6.03,776.53,8.94,17.21,1453.52,1.17,3.96,Unsafe
7.19,8.99,1241.32,4.43,26.65,705.7,0.94,6.54,Unsafe
7.77,0.97,473.97,2.45,16.32,567.77,0.24,2.69,Unsafe
7.61,2.22,646.35,6.1,28.81,884.11,0.82,0.78,Safe
5.9,8.67,297.51,3.35,28.48,1860.24,0.71,1.69,Unsafe
7.85,8.24,508.17,8.29,33.3,611.04,1.47,3.72,Unsafe
5.95,2.0,1362.9,4.48,24.37,1738.3,1.91,3.88,Unsafe
6.3,1.17,1053.11,6.33,34.86,909.12,1.52,9.93,Unsafe
7.99,8.58,1043.49,7.96,33.44,229.94,0.93,1.79,Unsafe
7.6,1.86,449.78,8.89,23.64,1490.76,1.27,9.04,Safe
8.4,8.72,304.7,8.71,21.31,118.4,0.3,11.96,Unsafe
7.63,9.62,1342.4,2.79,24.77,1377.54,0.95,3.62,Unsafe
7.27,2.29,1421.11,4.36,24.43,1327.61,0.91,6.13,Unsafe
5.37,8.42,175.02,6.5,18.21,231.6,1.41,8.55,Unsafe
6.47,4.3,842.23,2.87,31.04,1504.13,1.96,12.7,Unsafe
6.06,7.91,715.75,4.68,16.93,1324.63,1.09,6.85,Unsafe
5.98,4.13,1133.76,8.65,17.32,1624.26,1.28,13.41,Unsafe
8.89,0.8,522.51,3.34,26.57,1275.54,0.64,9.2,Unsafe
6.57,7.16,968.81,5.48,19.59,226.47,0.78,9.32,Unsafe
8.57,1.59,215.62,2.35,32.69,1549.43,1.59,5.13,Unsafe
7.52,9.28,1252.14,6.48,34.96,962.0,0.39,8.14,Unsafe
8.18,4.24,434.18,6.15,18.1,643.26,0.75,8.86,Safe
7.01,0.91,539.5,7.85,33.78,636.32,1.66,11.03,Unsafe
7.31,2.36,629.54,8.1,30.76,335.06,1.22,9.23,Unsafe
6.97,8.64,389.26,3.49,22.57,278.76,1.88,5.65,Unsafe
5.78,3.28,1232.46,8.01,25.66,310.63,1.29,8.03,Unsafe
7.89,8.58,196.14,8.86,22.83,1775.84,0.7,1.66,Unsafe
6.12,1.81,1406.95,8.19,25.28,1005.37,0.26,1.49,Unsafe
5.1,4.74,1402.83,8.05,25.29,866.53,1.89,6.71,Unsafe
7.58,8.79,1258.31,6.0,30.18,476.59,1.12,1.28,Unsafe
5.71,0.58,1433.0,6.59,28.26,947.26,1.06,14.93,Unsafe
8.76,3.11,1165.6,7.52,16.55,1422.93,0.5,8.07,Unsafe
8.82,9.11,887.61,3.25,20.96,624.4,1.08,7.14,Unsafe
8.66,6.01,1110.27,8.84,16.68,1965.61,0.3,9.04,Unsafe
6.48,7.19,105.53,4.09,23.54,1645.77,1.48,12.02,Unsafe
5.06,8.44,1059.59,5.6,24.66,721.56,1.76,4.31,Unsafe
8.71,5.28,158.84,5.84,22.12,1980.32,1.95,13.32,Unsafe
6.71,8.47,1342.71,7.86,18.58,126.17,0.68,8.97,Unsafe
8.87,6.42,1355.14,5.26,22.37,1775.62,0.49,9.33,Unsafe
8.85,6.89,260.05,4.9,28.8,1015.86,0.39,4.15,Unsafe
8.41,1.61,1051.48,4.48,17.45,381.61,0.28,1.43,Unsafe
6.18,9.4,1035.4,8.19,25.5,1981.27,1.64,11.2,Unsafe
6.54,7.98,797.31,7.96,28.96,281.42,0.88,5.82,Unsafe
8.4,2.62,135.03,5.0,19.12,1710.67,0.45,4.03,Unsafe
6.27,5.84,259.74,4.91,33.43,1122.65,1.06,11.57,Unsafe
5.68,3.83,1022.99,3.32,17.71,1751.53,0.39,9.34,Unsafe
7.23,6.64,841.47,5.52,18.16,1074.82,1.7,5.87,Unsafe
8.74,9.94,164.76,4.38,17.49,305.6,0.26,3.01,Unsafe
7.78,0.55,824.58,4.84,30.99,1970.36,0.19,14.83,Unsafe
7.28,9.53,1288.93,3.37,16.92,717.62,1.7,13.75,Unsafe
5.39,0.82,1346.66,6.31,25.11,1650.79,1.54,13.29,Unsafe
7.46,4.66,1075.78,5.05,32.75,1714.58,1.0,11.84,Unsafe
8.96,4.87,1027.7,8.35,26.38,950.13,1.45,7.29,Unsafe
5.56,2.76,1176.75,4.98,22.26,1001.01,0.23,3.42,Unsafe
7.07,5.71,286.78,7.52,24.07,464.2,1.45,4.51,Unsafe
8.51,8.36,366.27,6.16,15.52,341.72,0.5,5.12,Unsafe
7.96,3.01,780.03,8.29,25.02,454.14,1.79,0.64,Unsafe
7.79,0.8,731.43,8.02,33.01,1768.96,0.44,1.44,Unsafe
7.81,6.36,358.11,8.05,32.49,1895.69,1.74,0.28,Unsafe
6.44,7.54,1049.56,8.85,16.39,657.64,1.61,3.22,Unsafe
6.17,9.55,1137.52,2.76,24.81,296.33,0.2,13.01,Unsafe
8.24,1.68,479.18,3.94,16.99,1634.35,0.33,1.28,Unsafe
8.24,9.02,538.11,2.0,26.75,434.0,0.54,5.83,Unsafe
8.47,4.87,460.26,7.65,24.12,701.79,1.25,14.43,Unsafe
8.65,2.43,490.05,6.88,28.49,610.83,0.76,14.58,Unsafe
7.05,9.63,610.54,8.51,25.12,1479.18,1.54,0.4,Unsafe
7.01,2.46,717.53,6.96,23.78,1089.05,1.89,11.84,Unsafe
8.19,7.36,777.86,2.41,22.11,656.06,1.78,10.09,Unsafe
7.6,7.87,778.87,3.52,16.31,1059.26,0.88,11.21,Unsafe
7.81,4.36,964.19,2.65,28.78,659.46,0.18,1.34,Unsafe
8.18,6.93,581.74,2.11,18.5,869.79,0.58,0.17,Unsafe
8.56,5.77,804.78,3.9,31.35,1015.17,0.94,14.72,Unsafe
6.35,2.0,808.54,6.06,21.46,171.7,0.81,10.53,Unsafe
6.5,7.62,235.37,8.1,28.66,774.85,0.81,8.15,Unsafe
5.38,9.29,981.09,6.65,34.61,963.2,0.63,7.42,Unsafe
7.31,4.94,489.43,3.29,24.01,1191.55,0.98,9.79,Unsafe
5.14,9.94,165.75,5.37,30.43,419.82,1.63,4.8,Unsafe
6.86,4.34,1005.94,3.61,30.84,587.66,0.13,13.26,Unsafe
7.17,4.85,167.78,6.17,15.67,1087.51,0.94,4.68,Safe
6.15,6.77,718.63,6.2,25.76,1863.54,1.9,6.74,Unsafe
7.36,1.94,969.61,4.49,21.49,1694.45,1.31,11.59,Unsafe
5.12,9.03,1498.02,3.17,23.94,1991.19,1.98,13.36,Unsafe
5.15,8.03,821.18,7.02,21.01,391.72,0.86,0.41,Unsafe
8.29,8.74,545.47,4.1,25.83,1580.62,0.61,11.89,Unsafe
6.44,6.13,788.82,8.5,33.05,978.52,1.85,8.34,Unsafe
5.51,8.85,373.99,4.76,16.02,1695.0,0.51,3.12,Unsafe
7.09,6.83,713.13,2.05,19.3,1911.55,1.73,9.1,Unsafe
8.08,5.16,1322.31,5.78,32.86,954.38,0.57,8.77,Unsafe
5.86,9.32,290.57,5.57,16.45,132.63,1.52,2.36,Unsafe
7.49,4.45,842.21,4.47,22.37,207.25,1.7,7.99,Unsafe
5.34,5.06,969.13,2.91,20.03,1708.93,1.76,1.71,Unsafe
5.21,1.78,538.21,6.75,18.5,1782.09,1.88,9.17,Unsafe
7.13,9.48,1130.28,4.09,20.45,1565.47,1.43,9.88,Unsafe
7.16,2.29,1029.19,2.32,26.63,249.88,0.93,7.11,Unsafe
7.55,2.09,749.59,8.4,34.36,151.68,0.54,9.62,Unsafe
7.9,1.1,996.1,3.13,23.29,1490.79,0.3,11.64,Unsafe
8.9,4.59,1276.37,3.05,23.93,1309.13,1.81,3.34,Unsafe
7.07,2.81,940.57,3.02,22.99,513.93,0.5,3.08,Unsafe
6.29,7.43,896.31,3.69,34.11,463.26,1.51,6.67,Unsafe
8.18,3.14,970.0,3.63,17.62,925.0,1.55,8.01,Unsafe
6.08,7.24,1045.8,2.97,21.11,787.23,0.83,1.32,Unsafe
6.76,2.04,664.42,7.35,15.6,1215.02,1.33,12.71,Unsafe
5.31,2.38,1271.54,7.06,21.88,1433.49,0.33,10.39,Unsafe
5.1,8.08,1393.47,2.28,20.55,364.27,0.83,11.99,Unsafe
8.85,3.77,970.61,2.87,19.86,1970.87,0.79,1.93,Unsafe
8.34,1.21,1341.42,7.56,19.46,647.76,1.15,1.55,Unsafe
7.78,9.62,1142.51,5.72,21.67,1904.09,1.01,14.37,Unsafe
6.64,1.86,692.15,3.47,20.04,158.49,0.34,2.01,Unsafe
5.69,1.59,794.42,7.53,16.25,262.02,1.05,11.69,Unsafe
5.63,3.65,898.18,7.2,20.27,1186.75,0.13,5.24,Unsafe
6.0,1.05,1414.69,7.09,34.54,1463.44,0.93,14.79,Unsafe
7.2,1.64,1007.31,2.59,33.89,1708.49,0.41,2.79,Unsafe
7.86,8.48,811.96,7.27,29.29,976.96,0.37,0.58,Unsafe
7.64,1.8,272.76,4.81,18.83,216.94,0.1,5.28,Unsafe
6.12,1.2,1033.63,3.52,26.5,730.78,2.0,1.93,Unsafe
8.82,8.81,876.62,5.23,31.8,1964.66,1.11,12.23,Unsafe
7.95,4.49,1416.01,4.09,17.21,1834.49,1.03,10.82,Unsafe
7.22,1.66,578.85,8.1,25.61,649.56,0.59,13.89,Unsafe
7.45,5.86,1213.62,5.61,21.14,1827.06,1.5,8.41,Unsafe
6.68,0.51,495.54,6.88,23.02,1451.0,1.23,7.01,Safe
5.99,4.33,340.49,2.6,25.84,773.84,1.62,6.21,Unsafe
6.42,5.94,117.07,4.21,24.59,1950.39,1.85,12.71,Unsafe
8.03,9.58,1353.59,6.79,33.38,1042.99,1.11,8.52,Unsafe
5.06,3.33,722.47,3.96,25.66,1615.57,0.37,10.39,Unsafe
5.46,7.67,493.67,6.02,28.62,1035.82,1.4,8.5,Unsafe
5.18,1.41,664.4,3.95,26.14,788.51,1.98,4.96,Unsafe
5.16,4.39,1096.59,3.78,23.09,1370.9,0.6,9.62,Unsafe
8.42,2.31,650.58,3.53,19.12,1154.69,1.81,3.46,Unsafe
7.81,4.98,416.02,3.6,16.62,1423.89,1.31,10.71,Unsafe
6.9,4.23,222.91,7.23,28.55,181.85,1.16,4.75,Safe
5.39,9.8,970.42,2.25,17.03,150.57,0.22,5.37,Unsafe
6.97,9.18,1461.76,3.74,16.67,621.03,0.94,1.79,Unsafe
6.89,5.86,988.71,8.37,33.31,770.52,0.93,14.34,Unsafe
5.69,1.85,1425.64,4.26,34.41,1095.05,1.77,0.28,Unsafe
6.74,5.61,1329.2,4.65,27.03,174.86,1.29,7.21,Unsafe
6.59,7.94,318.18,7.52,15.64,731.23,1.69,10.6,Unsafe
7.46,0.48,1330.66,6.93,30.25,690.35,0.86,1.84,Unsafe
7.54,4.4,101.53,2.18,25.29,1317.07,1.61,3.36,Unsafe
5.18,0.52,813.5,2.75,30.5,1465.98,0.18,13.25,Unsafe
6.5,2.52,831.81,5.01,23.27,1752.84,1.03,2.46,Unsafe
7.5,1.01,1117.56,5.5,29.9,199.31,1.22,2.49,Unsafe
7.01,9.61,1158.43,3.16,30.91,529.53,0.13,4.93,Unsafe
8.43,1.77,424.34,3.75,25.93,655.14,0.13,0.12,Unsafe
7.63,1.59,1334.84,7.48,34.38,265.39,1.85,11.23,Unsafe
5.65,9.72,350.76,4.72,21.14,1811.01,1.86,3.42,Unsafe
5.28,5.21,1446.07,7.54,33.92,1370.74,1.89,1.83,Unsafe
7.57,7.6,1479.18,7.23,15.88,1214.54,0.46,1.06,Unsafe
5.11,3.34,1075.52,4.61,31.11,1150.03,1.92,10.03,Unsafe
7.34,5.38,1008.15,7.88,26.21,394.51,1.54,14.37,Unsafe
